"Sr_No","Product_Name","Quantity","Unit","MRP","Purchase_Rate","Amount","Category","Cost_Price","Actual_Margin_Percent","Actual_Profit_Per_Unit","Total_Actual_Profit","SP_5_Percent","SP_10_Percent","SP_5_Margin_Percent","SP_10_Margin_Percent","Brand","Size","Supplier","Last_Updated","Status","Stock_Quantity","Barcode"
"136","KEO KARPIN 200ML 100/-","40","PCS","100.0","90.0","3348.0","Personal Care","83.7","19.47","16.3","652.0","99.18","98.37","18.49","17.53","","","","","","","8906014201308.0"
"137","KEO KARPIN 50ML 25/-","120","PCS","25.0","22.5","2538.0","Personal Care","21.15","18.2","3.85","462.0","24.81","24.62","17.3","16.41","","","","","","",""
"138","KEO KARPIN 300ML 150/-","30","PCS","150.0","135.0","3807.0","Personal Care","126.9","18.2","23.1","693.0","148.84","147.69","17.29","16.38","","","","","","","8906014201407.0"
"139","KISSAN JAM 500GM 200/-","24","PCS","200.0","183.49","4051.46","Food & Grocery","168.81","18.48","31.19","748.56","198.44","196.88","17.55","16.63","","","","","","","8901030831706.0"
"140","KISSAN JAM 200GM 90/-","30","PCS","90.0","82.57","2378.02","Food & Grocery","79.27","13.54","10.73","321.9","89.46","88.93","12.85","12.19","","","","","","","8901030831690.0"
"141","KISSAN KETCHUP 1KG 170/-","10","PCS","170.0","175.0","1750.0","Food & Grocery","175.0","-2.86","-5.0","-50.0","170.25","170.5","-2.71","-2.57","","","","","","","8901030699085.0"
"142","KISSAN POUCH 50/-","24","PCS","50.0","43.0","1032.0","Food & Grocery","43.0","16.28","7.0","168.0","49.65","49.3","15.47","14.65","","","","","","","8901030921797.0"
"143","KISSAN POUCH 1KG 100/-","12","PCS","100.0","82.0","984.0","Food & Grocery","82.0","21.95","18.0","216.0","99.1","98.2","20.85","19.76","","","","","","","8901030902932.0"
"144","KIT KAT 20/-","420","PCS","20.0","9.33","6720.0","Confectionery","16.0","114.36","10.67","7682.4","19.0","18.0","108.68","102.89","","","","","","","8901058015171.0"
"145","LAXMANREKHA 20/-","38","PCS","20.0","20.0","760.0","Healthcare","20.0","0.0","0.0","0.0","20.0","20.0","0.0","0.0","","","","","","","8904058700375"
"146","LIFEBOUY 10/-","54","PCS","40.0","10.0","1840.0","Personal Care","34.0","0.0","0.0","0.0","38.0","36.0","0.0","0.0","","","","","","","8909106036673.0"
"147","LIFEBOUY 500GM 180/-","30","PCS","180.0","166.67","4600.09","Personal Care","153.34","17.39","26.66","799.8","178.67","177.33","16.52","15.64","","","","","","","8909106036758.0"
