"Sr_No","Product_Name","Quantity","Unit","MRP","Purchase_Rate","Amount","Category","Cost_Price","Sell_Price","Actual_Margin_Percent","Actual_Profit_Per_Unit","Total_Actual_Profit","SP_5_Percent","SP_10_Percent","SP_5_Margin_Percent","SP_10_Margin_Percent","Brand","Size","Supplier","Last_Updated","Status","Stock_Quantity","Barcode","Barcode_Clean"
"29","CLINIC POUCH 1/- EGG","960","PCS","1.0","0.72","695.0","Personal Care","0.72","1.0","38.89","0.28","268.8","0.99","0.97","37.5","34.72","","","","","","","8909110000000","8909110000000"
"30","CLINIC SHAMPOO 100ML","35","PCS","64.0","58.18","1832.67","Personal Care","52.36","58.0","22.23","11.64","407.4","63.42","62.84","21.12","20.02","","","","","","","8901030937163","8901030937163"
"31","CLINIC SHAMPOO 200ML","24","PCS","179.0","162.73","3514.97","Personal Care","146.46","160.0","22.22","32.54","780.96","177.37","175.75","21.1","20.0","","","","","","","8901030000000","8901030000000"
"32","CLINIC SHAMPOO 400ML","15","PCS","393.0","248.0","3720.0","Personal Care","248.0","306.0","58.47","145.0","2175.0","385.75","378.5","55.54","52.62","","","","","","","8901030000000","8901030000000"
"33","CLOSEUP 10/-","288","PCS","10.0","7.64","2200.0","Personal Care","7.64","9.0","30.89","2.36","679.68","9.88","9.76","29.32","27.75","","","","","","","8909110000000","8909110000000"
"34","CLOSEUP 100GM 85/-","72","PCS","85.0","77.27","4005.68","Personal Care","55.63","68.0","52.8","29.37","2114.64","83.53","82.06","50.15","47.51","","","","","","","8906070000000","8906070000000"
"35","CLOSEUP 150GM 140/-","35","PCS","140.0","127.27","3298.84","Personal Care","91.63","111.0","52.79","48.37","1741.32","137.58","135.16","50.15","47.51","","","","","","","8906070000000","8906070000000"
"36","CLOSEUP 50GM 20/-","144","PCS","20.0","18.18","2356.13","Personal Care","16.36","18.0","22.25","3.64","524.16","19.82","19.64","21.15","20.05","","","","","","","8909110000000","8909110000000"
"37","COLGATE BRUSH 20/-","264","PCS","20.0","105.23","2736.0","Personal Care","10.36","15.0","-80.99","-85.23","-2215.98","19.0","18.0","-76.95","-72.9","","","","","","","8901310000000","8901310000000"
"38","COLGATE MAX FRESH 10/-","220","PCS","10.0","10.0","2200.0","Personal Care","10.0","10.0","0.0","0.0","0.0","10.0","10.0","0.0","0.0","","","","","","","8901310000000","8901310000000"
"39","COLGATE PASTE 50GM 20/-","288","PCS","20.0","18.18","4712.26","Personal Care","16.36","18.0","22.25","3.64","1048.32","19.82","19.64","21.15","20.05","","","","","","","8901310000000","8901310000000"
"40","COLGATE PASTE 100GM 76/-","142","PCS","76.0","69.09","9153.04","Personal Care","63.56","69.0","19.57","12.44","1791.36","75.38","74.76","18.6","17.62","","","","","","","8901310000000","8901310000000"
"41","COLGATE PASTE 200GM 149/-","68","PCS","149.0","135.45","9167.26","Personal Care","127.32","136.0","17.03","21.68","1560.96","147.92","146.83","16.18","15.32","","","","","","","8901310000000","8901310000000"
"42","COLGATE WHITE 10/-","220","PCS","10.0","10.0","2200.0","Personal Care","10.0","10.0","0.0","0.0","0.0","10.0","10.0","0.0","0.0","","","","","","","8901310000000","8901310000000"
"43","COLIN BIG 115/-","23","PCS","115.0","104.55","2404.65","Home Care","96.19","104.0","19.56","18.81","470.25","114.06","113.12","18.58","17.6","","","","","","","8901400000000","8901400000000"
"44","DABUR AMLA 10/-","480","PCS","10.0","9.09","3316.03","Personal Care","6.91","9.0","44.72","3.09","1483.2","9.85","9.69","42.55","40.23","","","","","","","",""
"45","DABUR AMLA OIL 500ML","32","PCS","225.0","204.55","5367.39","Personal Care","167.73","191.0","34.14","57.27","1832.64","222.14","219.27","32.44","30.73","","","","","","","8901210000000","8901210000000"
"46","DABUR AMLA OIL 300ML","35","PCS","149.0","135.45","4096.01","Personal Care","113.78","128.0","30.95","35.22","1267.92","147.24","145.48","29.41","27.86","","","","","","","8901210000000","8901210000000"
"47","DABUR AMLA OIL 50ML","239","PCS","20.0","18.18","3316.03","Personal Care","13.82","17.0","44.72","6.18","1483.2","19.69","19.38","42.47","40.23","","","","","","","89008720","89008720"
"48","DABUR AMLA OIL 100ML","84","PCS","55.0","50.0","3528.0","Personal Care","42.0","48.0","30.95","13.0","1092.0","54.35","53.7","29.4","27.86","","","","","","","8901210000000","8901210000000"
"49","DABUR RED PASTE 10/-","288","PCS","10.0","9.09","2094.34","Personal Care","7.27","9.0","37.55","2.73","786.24","9.86","9.73","35.63","33.84","","","","","","","8901210000000","8901210000000"
"50","DABUR RED PASTE 50GM","288","PCS","20.0","18.18","4607.54","Personal Care","16.0","18.0","25.0","4.0","1152.0","19.8","19.6","23.75","22.5","","","","","","","8901210000000","8901210000000"
"51","DABUR RED PASTE 100GM","72","PCS","85.0","77.27","4005.68","Personal Care","55.63","68.0","52.8","29.37","2114.64","83.53","82.06","50.15","47.51","","","","","","","8901890000000","8901890000000"
"52","DABUR SARSO OIL 100ML","144","PCS","20.0","18.18","2094.34","Cooking Oil","14.54","17.0","37.55","5.46","786.24","19.73","19.45","35.69","33.77","","","","","","","",""
"53","DABUR SARSO OIL 50ML","288","PCS","10.0","9.09","2094.34","Cooking Oil","7.27","9.0","37.55","2.73","786.24","9.86","9.73","35.63","33.84","","","","","","","",""
"54","DAIRY MILK 10/-","672","PCS","10.0","9.09","5681.44","Confectionery","8.45","10.0","18.34","1.55","1041.6","9.92","9.84","17.4","16.45","","","","","","","7622200000000","7622200000000"
"55","DENVER DEO 230/-","36","PCS","230.0","122.0","4392.0","Personal Care","122.0","166.0","88.52","108.0","3888.0","224.6","219.2","84.1","79.67","","","","","","","8901450000000","8901450000000"
"56","DETTOL LIQUID 50ML","100","PCS","40.24","40.24","3339.92","Healthcare","33.4","37.0","20.48","6.84","684.0","39.9","39.56","19.46","18.44","","","","","","","8901400000000","8901400000000"
