Date,Time,Product_Name,Movement_Type,Quantity,Reference,Notes,User
2025-08-04,19:15:27,sesame oil 885ml,PURCHASE,24,PUR20250804191527,Purchase from rama enterprise - Invoice: 1234,Admin
2025-08-04,19:18:05,NAVRATNA OIL 200ML 155/-,QUICK_SALE,4,QS20250804191805,Quick sale,Admin
